                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6742,                 1.2185,                 1.3473,                0.80343,                0.72214,                0.81674,                0.42477,                 1.6316,                 1.1301,                 1.4093,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.6875,                 1.2502,                 1.3628,                0.79231,                0.85064,                0.89349,                 0.5305,                 1.4074,                 1.1475,                 1.2867,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.6807,                 1.2325,                 1.3381,                0.78231,                0.77596,                0.86513,                0.49113,                 1.4735,                  1.069,                 1.3281,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.6586,                 1.2564,                 1.3428,                0.79965,                 0.8288,                 0.8802,                0.52116,                 1.4068,                 1.0103,                 1.2893,              0.0010729,              0.0010729,              0.0010729
                     39,                  1.641,                 1.1804,                 1.3373,                0.79199,                 0.8253,                0.87254,                0.46907,                  1.541,                 1.0287,                 1.3537,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.6498,                 1.1892,                  1.321,                 0.7583,                0.79235,                 0.8619,                0.50263,                 1.4496,                 1.0084,                  1.307,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.6655,                 1.2134,                 1.3428,                0.81702,                0.82514,                0.90245,                0.55625,                 1.3587,                0.89664,                 1.2605,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.6656,                 1.2055,                 1.3505,                0.83894,                0.82514,                0.89955,                0.54366,                 1.3919,                0.94046,                 1.2748,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.6297,                 1.2013,                 1.3309,                0.77578,                 0.8256,                0.87822,                0.51261,                 1.4126,                 0.9749,                 1.2815,             0.00099036,             0.00099036,             0.00099036
                     44,                  1.638,                 1.2168,                 1.3321,                0.77825,                0.77231,                0.83198,                 0.4319,                 1.5453,                 1.1232,                  1.352,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.6419,                 1.2106,                 1.3281,                0.81334,                 0.8306,                0.88357,                0.52698,                 1.4015,                0.94821,                 1.2793,             0.00095736,             0.00095736,             0.00095736
                     46,                  1.612,                 1.1558,                 1.3149,                 0.7621,                0.80523,                0.85714,                0.48004,                 1.4198,                 1.0598,                 1.2925,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.6281,                 1.1885,                 1.3217,                0.78559,                0.74499,                0.82297,                0.46748,                 1.4771,                  1.072,                 1.3068,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.6292,                 1.1769,                 1.3182,                0.75191,                 0.7784,                0.83367,                0.45069,                 1.5296,                 1.0648,                 1.3394,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.6162,                 1.1662,                 1.3178,                0.82717,                0.84564,                0.91073,                0.56486,                  1.349,                0.87278,                 1.2402,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.6215,                 1.1835,                 1.3122,                 0.7535,                0.71269,                0.79888,                 0.4044,                 1.6101,                 1.1845,                   1.39,             0.00087484,             0.00087484,             0.00087484
                     51,                  1.624,                 1.1729,                 1.3236,                0.80532,                0.82514,                0.88535,                0.53455,                 1.4049,                  0.905,                 1.2758,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.6182,                 1.1688,                 1.3253,                 0.8282,                0.82878,                0.88627,                0.51498,                 1.4111,                0.95218,                 1.2729,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.6083,                 1.1559,                 1.3177,                0.81872,                0.80692,                0.88439,                 0.5159,                 1.4274,                 0.9477,                 1.2864,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.5905,                 1.1558,                 1.3021,                0.76938,                0.75353,                0.83225,                0.44972,                 1.5481,                 1.0561,                 1.3479,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.5941,                 1.1359,                 1.3042,                0.82389,                0.79251,                 0.8783,                 0.5305,                  1.376,                0.93666,                 1.2603,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.5898,                  1.114,                 1.3124,                0.78082,                0.80146,                0.86547,                0.50462,                 1.4373,                0.98524,                 1.2912,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.5866,                  1.126,                 1.2981,                0.82453,                0.82166,                0.89316,                0.54428,                 1.3464,                0.91159,                 1.2474,             0.00075932,             0.00075932,             0.00075932
